Wins,diff_text_success,goals_aginest,goals_for_GF,losses,name,ot_losses,url,win_percent,year
38,,248.0,234.0,35.0,Edmonton Oilers,9.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.463,2008.0
41,,231.0,234.0,30.0,Florida Panthers,11.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.5,2008.0
32,,259.0,216.0,35.0,Columbus Blue Jackets,15.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.39,2009.0
52,,209.0,271.0,22.0,Chicago Blackhawks,8.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.634,2009.0
14,,313.0,170.0,57.0,Atlanta Thrashers,4.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.171,1999.0
24,,248.0,210.0,33.0,Boston Bruins,6.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.293,1999.0
35,,204.0,213.0,32.0,Buffalo Sabres,4.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.427,1999.0
31,,256.0,211.0,36.0,Calgary Flames,5.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.378,1999.0
37,,216.0,217.0,35.0,Carolina Hurricanes,0.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.451,1999.0
40,,198.0,236.0,22.0,Colorado Avalanche,7.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.488,2003.0
41,,175.0,194.0,26.0,Dallas Stars,2.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.5,2003.0
48,,189.0,255.0,21.0,Detroit Red Wings,2.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.585,2003.0
36,,208.0,221.0,29.0,Edmonton Oilers,5.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.439,2003.0
